idx,ts,d1,d2,winner
0,2021-05-26 16:24:03,Dragun,Timethief,Dragun
1,2021-05-26 16:24:07,Dragun,FamiliarPossessed,FamiliarPossessed
2,2021-05-26 16:24:11,Dragun,Frog,Dragun
3,2021-05-26 16:24:17,Altergeist,Dragun,Altergeist
4,2021-05-26 16:24:22,Dragun,Zoodiac,Dragun
5,2021-05-26 16:24:26,DarkMagician,Dragun,Dragun
6,2021-05-26 16:24:30,Dragun,Witchcraft,Dragun
7,2021-05-26 16:24:34,Dragun,Rank5,Dragun
8,2021-05-26 16:24:38,Dragun,ToadallyAwesome,Dragun
9,2021-05-26 16:24:44,Dragun,ZexalWeapons,ZexalWeapons
10,2021-05-26 16:24:50,Dragun,SkyStriker,Dragun
11,2021-05-26 16:24:54,Beater,Dragun,Dragun
12,2021-05-26 16:24:57,Dragun,MokeyMokey,Dragun
13,2021-05-26 16:25:00,Dragun,Yosenju,Yosenju
14,2021-05-26 16:25:04,Dragun,Mathmech,Dragun
15,2021-05-26 16:25:21,Dragun,Dragunity,Dragun
16,2021-05-26 16:25:28,ChainBurn,Dragun,ChainBurn
17,2021-05-26 16:25:32,Dragun,Nekroz,Dragun
18,2021-05-26 16:25:35,Blackwing,Dragun,Dragun
19,2021-05-26 16:25:41,Dragun,LightswornShaddoldinosour,Dragun
20,2021-05-26 16:25:45,Dragun,Evilswarm,Dragun
21,2021-05-26 16:25:48,Dragun,Level8,Dragun
22,2021-05-26 16:25:52,Dragun,Graydle,Dragun
23,2021-05-26 16:25:55,Dragun,Trickstar,Trickstar
24,2021-05-26 16:25:59,Dragun,Rainbow,Dragun
25,2021-05-26 16:26:08,Dragun,Salamangreat,Salamangreat
26,2021-05-26 16:26:11,Dragun,Lightsworn,Dragun
27,2021-05-26 16:26:16,Dragun,Orcust,Dragun
28,2021-05-26 16:26:20,Dragun,Gravekeeper,Dragun
29,2021-05-26 16:26:24,BlueEyes,Dragun,Dragun
30,2021-05-26 16:26:28,Dragun,ST1732,Dragun
31,2021-05-26 16:26:32,CyberDragon,Dragun,Dragun
32,2021-05-26 16:26:37,BlueEyesMaxDragon,Dragun,BlueEyesMaxDragon
33,2021-05-26 16:26:41,Dragun,OldSchool,Dragun
34,2021-05-26 16:26:44,Dragun,Phantasm,Phantasm
35,2021-05-26 16:26:47,Dragun,Horus,Dragun
36,2021-05-26 16:26:51,Dragun,Qliphort,Dragun
37,2021-05-26 16:26:56,Dragun,GrenMajuThunderBoarder,Dragun
38,2021-05-26 16:26:59,Burn,Dragun,Dragun
39,2021-05-26 16:27:02,Dragun,MokeyMokeyKing,Dragun
40,2021-05-26 16:27:07,Dragun,PureWinds,PureWinds
41,2021-05-26 16:27:13,FamiliarPossessed,Timethief,FamiliarPossessed
42,2021-05-26 16:27:19,Frog,Timethief,Timethief
43,2021-05-26 16:27:29,Altergeist,Timethief,Timethief
44,2021-05-26 16:27:38,Timethief,Zoodiac,Zoodiac
45,2021-05-26 16:27:44,DarkMagician,Timethief,DarkMagician
46,2021-05-26 16:27:52,Timethief,Witchcraft,Witchcraft
47,2021-05-26 16:27:57,Rank5,Timethief,Timethief
48,2021-05-26 16:28:04,Timethief,ToadallyAwesome,Timethief
49,2021-05-26 16:28:10,Timethief,ZexalWeapons,ZexalWeapons
50,2021-05-26 16:28:14,SkyStriker,Timethief,Timethief
51,2021-05-26 16:28:20,Beater,Timethief,Timethief
52,2021-05-26 16:28:24,MokeyMokey,Timethief,Timethief
53,2021-05-26 16:28:27,Timethief,Yosenju,Yosenju
54,2021-05-26 16:28:30,Mathmech,Timethief,Mathmech
55,2021-05-26 16:28:33,Dragunity,Timethief,Timethief
56,2021-05-26 16:29:12,ChainBurn,Timethief,ChainBurn
57,2021-05-26 16:29:18,Nekroz,Timethief,Timethief
58,2021-05-26 16:29:25,Blackwing,Timethief,Timethief
59,2021-05-26 16:29:29,LightswornShaddoldinosour,Timethief,Timethief
60,2021-05-26 16:29:33,Evilswarm,Timethief,Timethief
61,2021-05-26 16:29:40,Level8,Timethief,Level8
62,2021-05-26 16:29:57,Graydle,Timethief,Timethief
63,2021-05-26 16:30:03,Timethief,Trickstar,Trickstar
64,2021-05-26 16:30:41,Rainbow,Timethief,Rainbow
65,2021-05-26 16:30:51,Salamangreat,Timethief,Salamangreat
66,2021-05-26 16:30:55,Lightsworn,Timethief,Timethief
67,2021-05-26 16:31:02,Orcust,Timethief,Timethief
68,2021-05-26 16:31:09,Gravekeeper,Timethief,Timethief
69,2021-05-26 16:31:22,BlueEyes,Timethief,BlueEyes
70,2021-05-26 16:31:26,ST1732,Timethief,Timethief
71,2021-05-26 16:31:30,CyberDragon,Timethief,Timethief
72,2021-05-26 16:31:32,BlueEyesMaxDragon,Timethief,BlueEyesMaxDragon
73,2021-05-26 16:31:40,OldSchool,Timethief,Timethief
74,2021-05-26 16:31:46,Phantasm,Timethief,Phantasm
75,2021-05-26 16:31:49,Horus,Timethief,Horus
76,2021-05-26 16:31:53,Qliphort,Timethief,Timethief
77,2021-05-26 16:31:59,GrenMajuThunderBoarder,Timethief,GrenMajuThunderBoarder
78,2021-05-26 16:32:03,Burn,Timethief,Timethief
79,2021-05-26 16:32:20,MokeyMokeyKing,Timethief,MokeyMokeyKing
80,2021-05-26 16:32:25,PureWinds,Timethief,PureWinds
81,2021-05-26 16:32:28,FamiliarPossessed,Frog,FamiliarPossessed
82,2021-05-26 16:32:36,Altergeist,FamiliarPossessed,Altergeist
83,2021-05-26 16:32:42,FamiliarPossessed,Zoodiac,FamiliarPossessed
84,2021-05-26 16:32:44,DarkMagician,FamiliarPossessed,FamiliarPossessed
85,2021-05-26 16:32:47,FamiliarPossessed,Witchcraft,FamiliarPossessed
86,2021-05-26 16:32:49,FamiliarPossessed,Rank5,FamiliarPossessed
87,2021-05-26 16:32:57,FamiliarPossessed,ToadallyAwesome,ToadallyAwesome
88,2021-05-26 16:33:47,FamiliarPossessed,ZexalWeapons,FamiliarPossessed
89,2021-05-26 16:33:52,FamiliarPossessed,SkyStriker,FamiliarPossessed
90,2021-05-26 16:33:55,Beater,FamiliarPossessed,FamiliarPossessed
91,2021-05-26 16:33:58,FamiliarPossessed,MokeyMokey,FamiliarPossessed
92,2021-05-26 16:34:04,FamiliarPossessed,Yosenju,FamiliarPossessed
93,2021-05-26 16:34:11,FamiliarPossessed,Mathmech,FamiliarPossessed
94,2021-05-26 16:34:14,Dragunity,FamiliarPossessed,FamiliarPossessed
95,2021-05-26 16:34:36,ChainBurn,FamiliarPossessed,ChainBurn
96,2021-05-26 16:34:39,FamiliarPossessed,Nekroz,FamiliarPossessed
97,2021-05-26 16:34:42,Blackwing,FamiliarPossessed,FamiliarPossessed
98,2021-05-26 16:34:48,FamiliarPossessed,LightswornShaddoldinosour,FamiliarPossessed
99,2021-05-26 16:34:52,Evilswarm,FamiliarPossessed,FamiliarPossessed
100,2021-05-26 16:34:59,FamiliarPossessed,Level8,Level8
101,2021-05-26 16:35:03,FamiliarPossessed,Graydle,FamiliarPossessed
102,2021-05-26 16:35:05,FamiliarPossessed,Trickstar,FamiliarPossessed
103,2021-05-26 16:35:09,FamiliarPossessed,Rainbow,FamiliarPossessed
104,2021-05-26 16:35:13,FamiliarPossessed,Salamangreat,FamiliarPossessed
105,2021-05-26 16:35:15,FamiliarPossessed,Lightsworn,FamiliarPossessed
106,2021-05-26 16:35:20,FamiliarPossessed,Orcust,FamiliarPossessed
107,2021-05-26 16:35:37,FamiliarPossessed,Gravekeeper,Gravekeeper
108,2021-05-26 16:35:43,BlueEyes,FamiliarPossessed,FamiliarPossessed
109,2021-05-26 16:35:47,FamiliarPossessed,ST1732,FamiliarPossessed
110,2021-05-26 16:35:51,CyberDragon,FamiliarPossessed,FamiliarPossessed
111,2021-05-26 16:36:06,BlueEyesMaxDragon,FamiliarPossessed,BlueEyesMaxDragon
112,2021-05-26 16:36:10,FamiliarPossessed,OldSchool,FamiliarPossessed
113,2021-05-26 16:36:13,FamiliarPossessed,Phantasm,FamiliarPossessed
114,2021-05-26 16:36:16,FamiliarPossessed,Horus,FamiliarPossessed
115,2021-05-26 16:36:31,FamiliarPossessed,Qliphort,Qliphort
116,2021-05-26 16:36:46,FamiliarPossessed,GrenMajuThunderBoarder,GrenMajuThunderBoarder
117,2021-05-26 16:36:49,Burn,FamiliarPossessed,FamiliarPossessed
118,2021-05-26 16:36:51,FamiliarPossessed,MokeyMokeyKing,FamiliarPossessed
119,2021-05-26 16:36:59,FamiliarPossessed,PureWinds,PureWinds
120,2021-05-26 16:37:05,Altergeist,Frog,Altergeist
121,2021-05-26 16:37:23,Frog,Zoodiac,Zoodiac
122,2021-05-26 16:37:42,DarkMagician,Frog,DarkMagician
123,2021-05-26 16:37:49,Frog,Witchcraft,Frog
124,2021-05-26 16:37:56,Frog,Rank5,Rank5
125,2021-05-26 16:38:19,Frog,ToadallyAwesome,Frog
126,2021-05-26 16:38:24,Frog,ZexalWeapons,ZexalWeapons
127,2021-05-26 16:38:37,Frog,SkyStriker,SkyStriker
128,2021-05-26 16:38:46,Beater,Frog,Beater
129,2021-05-26 16:38:50,Frog,MokeyMokey,Frog
130,2021-05-26 16:38:52,Frog,Yosenju,Yosenju
131,2021-05-26 16:38:56,Frog,Mathmech,Mathmech
132,2021-05-26 16:39:24,Dragunity,Frog,Frog
133,2021-05-26 16:39:30,ChainBurn,Frog,Frog
134,2021-05-26 16:39:34,Frog,Nekroz,Nekroz
135,2021-05-26 16:39:37,Blackwing,Frog,Blackwing
136,2021-05-26 16:40:25,Frog,LightswornShaddoldinosour,Frog
137,2021-05-26 16:40:35,Evilswarm,Frog,Evilswarm
138,2021-05-26 16:40:50,Frog,Level8,Frog
139,2021-05-26 16:40:58,Frog,Graydle,Frog
140,2021-05-26 16:41:03,Frog,Trickstar,Trickstar
141,2021-05-26 16:41:14,Frog,Rainbow,Rainbow
142,2021-05-26 16:41:22,Frog,Salamangreat,Salamangreat
143,2021-05-26 16:41:25,Frog,Lightsworn,Frog
144,2021-05-26 16:41:32,Frog,Orcust,Orcust
145,2021-05-26 16:41:36,Frog,Gravekeeper,Gravekeeper
146,2021-05-26 16:41:40,BlueEyes,Frog,BlueEyes
147,2021-05-26 16:41:47,Frog,ST1732,ST1732
148,2021-05-26 16:41:50,CyberDragon,Frog,CyberDragon
149,2021-05-26 16:41:53,BlueEyesMaxDragon,Frog,BlueEyesMaxDragon
150,2021-05-26 16:41:56,Frog,OldSchool,OldSchool
151,2021-05-26 16:42:00,Frog,Phantasm,Phantasm
152,2021-05-26 16:42:04,Frog,Horus,Horus
153,2021-05-26 16:42:08,Frog,Qliphort,Qliphort
154,2021-05-26 16:42:24,Frog,GrenMajuThunderBoarder,Frog
155,2021-05-26 16:42:27,Burn,Frog,Burn
156,2021-05-26 16:42:42,Frog,MokeyMokeyKing,Frog
157,2021-05-26 16:42:47,Frog,PureWinds,PureWinds
158,2021-05-26 16:42:55,Altergeist,Zoodiac,Altergeist
159,2021-05-26 16:43:02,Altergeist,DarkMagician,Altergeist
160,2021-05-26 16:43:08,Altergeist,Witchcraft,Altergeist
161,2021-05-26 16:43:14,Altergeist,Rank5,Altergeist
162,2021-05-26 16:43:19,Altergeist,ToadallyAwesome,Altergeist
163,2021-05-26 16:43:30,Altergeist,ZexalWeapons,Altergeist
164,2021-05-26 16:43:46,Altergeist,SkyStriker,Altergeist
165,2021-05-26 16:43:52,Altergeist,Beater,Altergeist
166,2021-05-26 16:43:58,Altergeist,MokeyMokey,Altergeist
167,2021-05-26 16:44:06,Altergeist,Yosenju,Altergeist
168,2021-05-26 16:44:12,Altergeist,Mathmech,Altergeist
169,2021-05-26 16:44:18,Altergeist,Dragunity,Altergeist
170,2021-05-26 16:44:23,Altergeist,ChainBurn,Altergeist
171,2021-05-26 16:44:29,Altergeist,Nekroz,Altergeist
172,2021-05-26 16:44:37,Altergeist,Blackwing,Altergeist
173,2021-05-26 16:44:44,Altergeist,LightswornShaddoldinosour,Altergeist
174,2021-05-26 16:44:50,Altergeist,Evilswarm,Altergeist
175,2021-05-26 16:44:59,Altergeist,Level8,Altergeist
176,2021-05-26 16:45:05,Altergeist,Graydle,Altergeist
177,2021-05-26 16:45:16,Altergeist,Trickstar,Altergeist
178,2021-05-26 16:45:23,Altergeist,Rainbow,Altergeist
179,2021-05-26 16:45:34,Altergeist,Salamangreat,Salamangreat
180,2021-05-26 16:45:39,Altergeist,Lightsworn,Altergeist
181,2021-05-26 16:45:47,Altergeist,Orcust,Altergeist
182,2021-05-26 16:45:57,Altergeist,Gravekeeper,Altergeist
183,2021-05-26 16:46:13,Altergeist,BlueEyes,BlueEyes
184,2021-05-26 16:46:20,Altergeist,ST1732,Altergeist
185,2021-05-26 16:46:29,Altergeist,CyberDragon,Altergeist
186,2021-05-26 16:46:35,Altergeist,BlueEyesMaxDragon,Altergeist
187,2021-05-26 16:46:41,Altergeist,OldSchool,Altergeist
188,2021-05-26 16:46:47,Altergeist,Phantasm,Altergeist
189,2021-05-26 16:46:53,Altergeist,Horus,Altergeist
190,2021-05-26 16:47:10,Altergeist,Qliphort,Qliphort
191,2021-05-26 16:47:17,Altergeist,GrenMajuThunderBoarder,GrenMajuThunderBoarder
192,2021-05-26 16:47:25,Altergeist,Burn,Altergeist
193,2021-05-26 16:47:31,Altergeist,MokeyMokeyKing,Altergeist
194,2021-05-26 16:47:36,Altergeist,PureWinds,PureWinds
195,2021-05-26 16:47:43,DarkMagician,Zoodiac,Zoodiac
196,2021-05-26 16:47:49,Witchcraft,Zoodiac,Zoodiac
197,2021-05-26 16:47:54,Rank5,Zoodiac,Rank5
198,2021-05-26 16:48:07,ToadallyAwesome,Zoodiac,Zoodiac
199,2021-05-26 16:48:29,ZexalWeapons,Zoodiac,Zoodiac
200,2021-05-26 16:48:56,SkyStriker,Zoodiac,Zoodiac
201,2021-05-26 16:49:06,Beater,Zoodiac,Zoodiac
202,2021-05-26 16:49:16,MokeyMokey,Zoodiac,Zoodiac
203,2021-05-26 16:49:18,Yosenju,Zoodiac,Yosenju
204,2021-05-26 16:49:28,Mathmech,Zoodiac,Zoodiac
205,2021-05-26 16:49:38,Dragunity,Zoodiac,Zoodiac
206,2021-05-26 16:49:48,ChainBurn,Zoodiac,Zoodiac
207,2021-05-26 16:49:59,Nekroz,Zoodiac,Zoodiac
208,2021-05-26 16:50:09,Blackwing,Zoodiac,Zoodiac
209,2021-05-26 16:50:15,LightswornShaddoldinosour,Zoodiac,Zoodiac
210,2021-05-26 16:50:26,Evilswarm,Zoodiac,Zoodiac
211,2021-05-26 16:50:31,Level8,Zoodiac,Level8
212,2021-05-26 16:50:45,Graydle,Zoodiac,Zoodiac
213,2021-05-26 16:50:53,Trickstar,Zoodiac,Trickstar
214,2021-05-26 16:51:03,Rainbow,Zoodiac,Zoodiac
215,2021-05-26 16:51:10,Salamangreat,Zoodiac,Salamangreat
216,2021-05-26 16:51:16,Lightsworn,Zoodiac,Zoodiac
217,2021-05-26 16:51:19,Orcust,Zoodiac,Orcust
218,2021-05-26 16:51:29,Gravekeeper,Zoodiac,Zoodiac
219,2021-05-26 16:51:36,BlueEyes,Zoodiac,BlueEyes
220,2021-05-26 16:51:49,ST1732,Zoodiac,Zoodiac
221,2021-05-26 16:52:07,CyberDragon,Zoodiac,Zoodiac
222,2021-05-26 16:52:17,BlueEyesMaxDragon,Zoodiac,Zoodiac
223,2021-05-26 16:52:30,OldSchool,Zoodiac,Zoodiac
224,2021-05-26 16:52:35,Phantasm,Zoodiac,Phantasm
225,2021-05-26 16:52:48,Horus,Zoodiac,Zoodiac
226,2021-05-26 16:52:52,Qliphort,Zoodiac,Qliphort
227,2021-05-26 16:53:06,GrenMajuThunderBoarder,Zoodiac,Zoodiac
228,2021-05-26 16:53:16,Burn,Zoodiac,Zoodiac
229,2021-05-26 16:53:29,MokeyMokeyKing,Zoodiac,Zoodiac
230,2021-05-26 16:53:40,PureWinds,Zoodiac,PureWinds
231,2021-05-26 16:53:45,DarkMagician,Witchcraft,DarkMagician
232,2021-05-26 16:53:49,DarkMagician,Rank5,Rank5
233,2021-05-26 16:53:52,DarkMagician,ToadallyAwesome,ToadallyAwesome
234,2021-05-26 16:53:57,DarkMagician,ZexalWeapons,ZexalWeapons
235,2021-05-26 16:54:03,DarkMagician,SkyStriker,SkyStriker
236,2021-05-26 16:54:11,Beater,DarkMagician,DarkMagician
237,2021-05-26 16:54:17,DarkMagician,MokeyMokey,DarkMagician
238,2021-05-26 16:54:20,DarkMagician,Yosenju,Yosenju
239,2021-05-26 16:54:23,DarkMagician,Mathmech,Mathmech
240,2021-05-26 16:54:30,DarkMagician,Dragunity,DarkMagician
241,2021-05-26 16:54:48,ChainBurn,DarkMagician,DarkMagician
242,2021-05-26 16:54:56,DarkMagician,Nekroz,DarkMagician
243,2021-05-26 16:54:59,Blackwing,DarkMagician,Blackwing
244,2021-05-26 16:55:05,DarkMagician,LightswornShaddoldinosour,DarkMagician
245,2021-05-26 16:55:13,DarkMagician,Evilswarm,DarkMagician
246,2021-05-26 16:55:21,DarkMagician,Level8,Level8
247,2021-05-26 16:55:38,DarkMagician,Graydle,Graydle
248,2021-05-26 16:55:42,DarkMagician,Trickstar,Trickstar
249,2021-05-26 16:55:50,DarkMagician,Rainbow,DarkMagician
250,2021-05-26 16:55:58,DarkMagician,Salamangreat,Salamangreat
251,2021-05-26 16:56:03,DarkMagician,Lightsworn,DarkMagician
252,2021-05-26 16:56:07,DarkMagician,Orcust,Orcust
253,2021-05-26 16:56:15,DarkMagician,Gravekeeper,DarkMagician
254,2021-05-26 16:56:17,BlueEyes,DarkMagician,BlueEyes
255,2021-05-26 16:56:21,DarkMagician,ST1732,ST1732
256,2021-05-26 16:56:24,CyberDragon,DarkMagician,CyberDragon
257,2021-05-26 16:56:28,BlueEyesMaxDragon,DarkMagician,BlueEyesMaxDragon
258,2021-05-26 16:56:31,DarkMagician,OldSchool,OldSchool
259,2021-05-26 16:56:34,DarkMagician,Phantasm,Phantasm
260,2021-05-26 16:56:38,DarkMagician,Horus,Horus
261,2021-05-26 16:56:41,DarkMagician,Qliphort,Qliphort
262,2021-05-26 16:56:45,DarkMagician,GrenMajuThunderBoarder,GrenMajuThunderBoarder
263,2021-05-26 16:56:51,Burn,DarkMagician,Burn
264,2021-05-26 16:56:58,DarkMagician,MokeyMokeyKing,DarkMagician
265,2021-05-26 16:57:03,DarkMagician,PureWinds,PureWinds
266,2021-05-26 16:57:09,Rank5,Witchcraft,Rank5
267,2021-05-26 16:57:14,ToadallyAwesome,Witchcraft,ToadallyAwesome
268,2021-05-26 16:57:21,Witchcraft,ZexalWeapons,ZexalWeapons
269,2021-05-26 16:57:25,SkyStriker,Witchcraft,SkyStriker
270,2021-05-26 16:57:32,Beater,Witchcraft,Witchcraft
271,2021-05-26 16:57:37,MokeyMokey,Witchcraft,Witchcraft
272,2021-05-26 16:57:41,Witchcraft,Yosenju,Yosenju
273,2021-05-26 16:57:45,Mathmech,Witchcraft,Mathmech
274,2021-05-26 16:57:48,Dragunity,Witchcraft,Dragunity
275,2021-05-26 16:58:28,ChainBurn,Witchcraft,ChainBurn
276,2021-05-26 16:58:37,Nekroz,Witchcraft,Witchcraft
277,2021-05-26 16:58:44,Blackwing,Witchcraft,Blackwing
278,2021-05-26 16:58:49,LightswornShaddoldinosour,Witchcraft,LightswornShaddoldinosour
279,2021-05-26 16:58:55,Evilswarm,Witchcraft,Evilswarm
280,2021-05-26 16:59:02,Level8,Witchcraft,Level8
281,2021-05-26 16:59:12,Graydle,Witchcraft,Graydle
282,2021-05-26 16:59:40,Trickstar,Witchcraft,Trickstar
283,2021-05-26 16:59:42,Rainbow,Witchcraft,Rainbow
284,2021-05-26 16:59:48,Salamangreat,Witchcraft,Salamangreat
285,2021-05-26 16:59:52,Lightsworn,Witchcraft,Witchcraft
286,2021-05-26 17:00:00,Orcust,Witchcraft,Witchcraft
287,2021-05-26 17:00:05,Gravekeeper,Witchcraft,Gravekeeper
288,2021-05-26 17:00:08,BlueEyes,Witchcraft,BlueEyes
